source,target,edge_type,relation_label,evidence_status,confidence,weight,date_range,source_ids,risk_flags,notes,epistemic_role,adjudication_status
ELSC,CIDI,COUNTER_DOCUMENTATION,ELSC identifies CIDI among Dutch Israel-advocacy actors in suppression incidents,source_claim,medium,4,2015-2020,S_ELSC_2021,contested_claim,"Use as ELSC claim, not court finding",evidence_of_public_relation,not_adjudicated
ELSC,NGO_MONITOR,COUNTER_DOCUMENTATION,ELSC maps external Israeli-source disinformation/dossier amplification pattern,source_claim,medium,4,2015-2020,S_ELSC_2021,contested_claim,NGO Monitor contests such characterisations,evidence_of_public_relation,not_adjudicated
ELSC,TELEGRAAF,COUNTER_DOCUMENTATION,ELSC classifies right-wing media outlets as enabling actors/amplifiers,source_claim,medium,3,2015-2020,S_ELSC_2021,media_generalization,Publication-specific edges required for stronger claim,evidence_of_public_relation,not_adjudicated
ELSC,EW,COUNTER_DOCUMENTATION,ELSC classifies conservative/mainstream media as enabling actors in some incidents,source_claim,medium,3,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,GEENSTIJL,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium,3,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,DDS,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,TPO,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,OPINIEZ,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,PALESTINIAN_NGOS,MONITORING,Documents 76 incidents affecting Palestinian-rights advocacy,documented_by_source,high,5,2015-2020,S_ELSC_2021,none,Backbone target cluster,evidence_of_public_relation,not_adjudicated
CIDI,CESTMOCRO,LEGAL_COMPLAINT,CIDI filed complaint for alleged incitement to hatred/violence against Jews,verified_public_action,high,5,2023,S_CIDI_CESTMOCRO_2023;S_NOS_CESTMOCRO_2023,legal_claim,"Describes complaint, not judicial finding",evidence_of_public_relation,not_adjudicated
CIDI,DUTCH_GOV,POLITICAL_PRESSURE,CIDI asked cabinet to take a position against CestMocro-related incitement,verified_public_action,high,4,2023,S_CIDI_CESTMOCRO_2023,political_pressure,Primary source CIDI,evidence_of_public_relation,not_adjudicated
BBB,CESTMOCRO,PLATFORM_RESTRICTION_ARGUMENT,BBB/Van der Plas suggested possible prohibition in public debate,reported_public_statement,high,4,2024,S_VILLAMEDIA_CESTMOCRO_2024,speech_restriction,Freedom-of-expression sensitive,evidence_of_public_relation,not_adjudicated
CAROLINE_VDP,CESTMOCRO,PLATFORM_RESTRICTION_ARGUMENT,Van der Plas suggested CestMocro could be banned,reported_public_statement,high,4,2024,S_VILLAMEDIA_CESTMOCRO_2024,speech_restriction,Reported by Villamedia,evidence_of_public_relation,not_adjudicated
LIKOED_NL,THIEMEMEULENHOFF,CAMPAIGN_PRESSURE,Schoolbook criticism framed content as antisemitic/anti-Israel errors,verified_public_action,high,5,2015,S_LIKOED_THIEME_2015,none,Primary Likoed publication,evidence_of_public_relation,not_adjudicated
LIKOED_NL,NOORDHOFF,CAMPAIGN_PRESSURE,Schoolbook criticism over Jeruzalem/Jewish history content,reported_public_action,high,5,2019,S_JONET_NOORDHOFF_2019,none,Reported public campaign,evidence_of_public_relation,not_adjudicated
CIDI,SCHOOLBOOK_POLICY,POLICY_ADVOCACY,CIDI requested guidelines for Israel/Jewish representation in schoolbooks,reported_public_action,medium_high,3,pre-2019,S_JONET_NOORDHOFF_2019,none,Referenced in Jonet report,evidence_of_public_relation,not_adjudicated
IAF,TWEEDE_KAMER,PARLIAMENTARY_ACCESS,IAF lists Netherlands caucus in global network,self_disclosed,high,5,current,S_IAF_MEMBERS,none,Official IAF network page,evidence_of_public_relation,not_adjudicated
IAF,CHRIS_STOFFER,PARLIAMENTARY_ACCESS,IAF lists Chris Stoffer as Netherlands caucus chair,self_disclosed,high,5,current,S_IAF_MEMBERS,none,Official IAF network page,evidence_of_public_relation,not_adjudicated
IAF,SGP,PARLIAMENTARY_ACCESS,Dutch caucus historically initiated by SGP/CU figures and currently chaired by SGP MP,reported/self_disclosed,high,5,2013-current,S_JONET_IIACF_2013;S_IAF_MEMBERS,none,Party/network edge,evidence_of_public_relation,not_adjudicated
IAF,CU,PARLIAMENTARY_ACCESS,CU/SGP parliamentary pro-Israel club became part of IIACF network,reported_public_action,high,4,2013,S_JONET_IIACF_2013,none,Historical edge,evidence_of_public_relation,not_adjudicated
KEES_VD_STAAIJ,IAF,NETWORK_INITIATION,SGP leader named in 2013 caucus creation context,reported_public_action,medium_high,4,2013,S_JONET_IIACF_2013,none,Historical role,evidence_of_public_relation,not_adjudicated
JOEL_VOORDEWIND,IAF,NETWORK_INITIATION,CU politician named in 2013 caucus creation context,reported_public_action,medium_high,4,2013,S_JONET_IIACF_2013,none,Historical role,evidence_of_public_relation,not_adjudicated
IAF_EU,SGP,EVENT_PARTICIPATION,SGP reports participation in IAF Europe Policy Summit,self_disclosed,high,4,2025,S_SGP_IAF_2025,none,Party source,evidence_of_public_relation,not_adjudicated
SGP,IAF_EU,FRAMING_ALIGNMENT,SGP summit article frames international law criticism as misused against Israel,self_disclosed,high,4,2025,S_SGP_IAF_2025,none,Frame alignment,evidence_of_public_relation,not_adjudicated
IAF,BERTJAN_RUISSEN,PARLIAMENTARY_ACCESS,IAF member nations page lists European Union caucus chair as Bert-Jan Ruissen,self_disclosed,high,4,current,S_IAF_MEMBERS,none,Official IAF page,evidence_of_public_relation,not_adjudicated
TRF,IAF,COUNTER_DOCUMENTATION,TRF investigates IAF as Christian parliamentary mobilization network,source_claim,medium,3,2025,S_RIGHTSFORUM_IAF_2025,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
TRF,SGP,COUNTER_DOCUMENTATION,TRF maps SGP links to IAF/christian-zionist networks,source_claim,medium,3,2025,S_RIGHTSFORUM_IAF_2025,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
TRF,CU,COUNTER_DOCUMENTATION,TRF maps CU links to IAF/christian-zionist networks,source_claim,medium,3,2025,S_RIGHTSFORUM_IAF_2025,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
ELNET,CHRIS_STOFFER,SPONSORED_TRAVEL,Stoffer registered 2024 Israel solidarity visit paid by ELNET,official_record,high,5,2024,S_TK_STOFFER_REIZEN,none,Official travel disclosure,evidence_of_public_relation,not_adjudicated
CVI,CHRIS_STOFFER,SPONSORED_OR_PARTLY_SPONSORED_TRAVEL,"Stoffer registered 2022 Israel visit on invitation of Christenen voor Israël, partly paid by SGP foundation/fractie",official_record,high,4,2022,S_TK_STOFFER_REIZEN,none,Official travel disclosure,evidence_of_public_relation,not_adjudicated
NGO_MONITOR,DUTCH_GOV,POLICY_INPUT,NGO Monitor report triggered request for ministerial response,official_record,high,4,2025,S_RIJK_NGOMONITOR_2025,none,Government workflow edge,evidence_of_public_relation,not_adjudicated
NGO_MONITOR,OXFAM_NOVIB,TERROR_LINK_ALLEGATION,NGO Monitor allegations about Oxfam/DRA were referenced in Dutch parliamentary questions,contested_claim,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,defamation_sensitive,Cabinet stated no information supports the allegations,allegation_entering_policy_media_discourse,unadjudicated_contested
TELEGRAAF,OXFAM_NOVIB,MEDIA_AMPLIFICATION,De Telegraaf report was referenced in parliamentary questions about NGO Monitor/Oxfam allegations,official_record_reference,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,defamation_sensitive,"Use as media-to-parliament pathway, not as truth of allegation",evidence_of_public_relation,not_adjudicated
VVD,DUTCH_GOV,PARLIAMENTARY_QUESTION,VVD MP Rajkowski asked questions based on De Telegraaf/NGO Monitor Oxfam framing,official_record,high,4,2026,S_TK_NGOMONITOR_2026_VVD,none,Official Q&A,evidence_of_public_relation,not_adjudicated
QUEENY_RAJKOWSKI,DUTCH_GOV,PARLIAMENTARY_QUESTION,VVD MP Rajkowski asked questions based on De Telegraaf/NGO Monitor Oxfam framing,official_record,high,3,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_RAJKOWSKI_DETAIL_2026,none,Official Q&A,evidence_of_public_relation,not_adjudicated
GIDI_MARKUSZOWER,DUTCH_GOV,PARLIAMENTARY_QUESTION,Questions to ministers over NGO Monitor/Oxfam claims,official_record,high,4,2026,S_TK_NGOMONITOR_2026_MARKUSZOWER,none,Official Q&A,evidence_of_public_relation,not_adjudicated
ANNELOTTE_LAMMERS,DUTCH_GOV,PARLIAMENTARY_QUESTION,Questions to ministers over NGO Monitor/Oxfam claims,official_record,high,4,2026,S_TK_NGOMONITOR_2026_MARKUSZOWER,none,Official Q&A,evidence_of_public_relation,not_adjudicated
DUTCH_GOV,NGO_MONITOR,OFFICIAL_NONCONFIRMATION,"Cabinet stated it had no information supporting the NGO Monitor allegations; modeled as official non-confirmation, not independent falsification",official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,institutional_self_interest;not_independent_verification;contested_claim,Do not use as truth anchor. Use only as evidence that the government publicly did not confirm the allegations.,institutional_position_not_truth_anchor,unadjudicated_contested
DUTCH_GOV,DRA,DUE_DILIGENCE_ASSERTION,Cabinet asserted due-diligence processes were in order for named organizations,official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD,institutional_self_interest;not_independent_verification,"Official donor/government assertion. Treat as institutional self-report, not external audit.",institutional_position_not_truth_anchor,unadjudicated
TRF,TELEGRAAF,COUNTER_DOCUMENTATION,TRF accuses De Telegraaf of NGO Monitor amplification in UAWC/Al-Mezan context,source_claim,medium,3,2020,S_RIGHTSFORUM_TELEGRAAF_2020,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
NGO_MONITOR,TELEGRAAF,FRAME_SUPPLY,TRF/NRC-linked dispute: NGO Monitor material used in De Telegraaf NGO-related articles,contested_reported_pattern,medium_high,4,2020-2026,S_RIGHTSFORUM_TELEGRAAF_2020;S_NGOMONITOR_RESPONSE_NRC_2026;S_TK_NGOMONITOR_2026_VVD,contested_claim,NGO Monitor disputes NRC framing but confirms substantive conflict,evidence_of_public_relation,not_adjudicated
NGO_MONITOR,NRC,COUNTER_ATTACK_RESPONSE,NGO Monitor published rebuttal to NRC article about NGO Monitor and De Telegraaf,verified_public_action,high,3,2026,S_NGOMONITOR_RESPONSE_NRC_2026,contested_claim,Adversarial source,evidence_of_public_relation,not_adjudicated
HU,CIDI,EVENT_COLLABORATION,HU organized Holocaust/antisemitism lectures with CIDI,reported_public_action,high,5,2024,S_NOS_HU_CIDI_2024;S_HOP_HU_POLITICI_2024,none,Education collaboration case,evidence_of_public_relation,not_adjudicated
NEW_NEIGHBOURS,HU,CRITICISM_PRESSURE,New Neighbours objected to CIDI involvement in HU lectures,reported_public_action,high,4,2024,S_NOS_HU_CIDI_2024;S_HOP_HU_POLITICI_2024,none,Reported objection,evidence_of_public_relation,not_adjudicated
CIDI,HU,SAFETY_INTIMIDATION_FRAME,CIDI characterized postponement as intimidation/threats paying off,reported_public_statement,high,4,2024,S_HOP_HU_POLITICI_2024;S_NOS_HU_CIDI_2024,safety_frame,Reported statement,evidence_of_public_relation,not_adjudicated
TELEGRAAF,HU,MEDIA_AMPLIFICATION,"De Telegraaf first reported HU postponement, triggering broader media/political reaction",reported_media_sequence,medium_high,4,2024,S_HOP_HU_POLITICI_2024;S_NOS_HU_CIDI_2024,none,Sequence reported by HOP/NOS,evidence_of_public_relation,not_adjudicated
GEENSTIJL,HU,MEDIA_AMPLIFICATION,GeenStijl took over HU/CIDI story with hostile comment according to HU local reporting,reported_media_sequence,medium,3,2024,S_HOP_HU_POLITICI_2024,none,Use with source-specific confirmation,evidence_of_public_relation,not_adjudicated
DILAN_YESILGOZ,HU,PUBLIC_PRESSURE,Publicly criticized HU postponement as a disgrace/gotspe,reported_public_statement,high,4,2024,S_HOP_HU_POLITICI_2024,none,Reported X statement,evidence_of_public_relation,not_adjudicated
CAROLINE_VDP,HU,PARLIAMENTARY_PRESSURE,Wanted to ask cabinet oral questions over HU decision,reported_public_action,high,4,2024,S_HOP_HU_POLITICI_2024,none,Reported parliamentary pressure,evidence_of_public_relation,not_adjudicated
PIETER_OMTZIGT,HU,PUBLIC_PRESSURE,Questioned HU's moral compass over postponement,reported_public_statement,medium_high,3,2024,S_HOP_HU_POLITICI_2024,none,Reported X statement,evidence_of_public_relation,not_adjudicated
NAOMI_MESTRUM,NOS,MEDIA_STATEMENT,CIDI director provided statement to NOS in HU case,reported_public_statement,high,3,2024,S_NOS_HU_CIDI_2024,none,Spokesperson edge,evidence_of_public_relation,not_adjudicated
CVI_MEDIA,WIERD_DUK,PLATFORMING,Christenen voor Israël hosted Wierd Duk on media bias around Israel/Gaza,verified_public_content,high,4,2024,S_CVI_WIERD_DUK_2024,none,Public media appearance,evidence_of_public_relation,not_adjudicated
CVI,CVI_MEDIA,MEDIA_OWNERSHIP_OR_PLATFORM,CVI operates/hosts its media/podcast content,self_disclosed,high,4,2024,S_CVI_WIERD_DUK_2024,none,Advocacy media platform,evidence_of_public_relation,not_adjudicated
WIERD_DUK,TELEGRAAF,MEDIA_AFFILIATION,Wierd Duk is Telegraaf reporter/commentator in platform descriptions,reported_public_profile,high,4,2024-2026,S_CVI_WIERD_DUK_2024;S_NVD_WIERD_DUK_2026,none,Affiliation edge,evidence_of_public_relation,not_adjudicated
WIERD_DUK,NIEUWS_VD_DAG,COMMENTARY,Commentary on 'Palestinisering' of media/education discourse,verified_public_content,high,3,2026,S_NVD_WIERD_DUK_2026,none,Content frame edge,evidence_of_public_relation,not_adjudicated
LEON_DE_WINTER,NPO_RADIO1,COMMENTARY,Appeared in NPO Radio 1 podcast on Israel-Hamas conflict,verified_public_content,high,3,2023,S_NPORADIO1_LEON_2023,none,Public commentary,evidence_of_public_relation,not_adjudicated
LEON_DE_WINTER,EW,MEDIA_AFFILIATION,EW author profile for Leon de Winter,publisher_profile,high,4,current,S_EW_LEON,none,Media affiliation,evidence_of_public_relation,not_adjudicated
ESTHER_VOET,NIW,EDITORIAL_ROLE,NIW head editor profile; former CIDI director/adjunct-director noted,publisher_profile,high,5,current,S_NIW_REDACTIE,none,Bridge node,evidence_of_public_relation,not_adjudicated
ESTHER_VOET,CIDI,FORMER_ROLE,NIW profile states Voet was connected to CIDI as adjunct-director/director,publisher_profile,high,5,historical,S_NIW_REDACTIE,none,Historical role,evidence_of_public_relation,not_adjudicated
BART_VAN_DIJK,CIDI,EMPLOYEE_ROLE,NIW article identifies Bart van Dijk as CIDI employee,publisher_article,high,4,2025,S_NIW_CIDI_DATA_2025,none,Data bridge,evidence_of_public_relation,not_adjudicated
NIW,CIDI,DATA_USE,NIW article uses CIDI voting-data on Tweede Kamer since 7 Oct 2023,publisher_article,high,4,2025,S_NIW_CIDI_DATA_2025,none,Media-data bridge,evidence_of_public_relation,not_adjudicated
BART_SCHUT,NIW,MEDIA_AFFILIATION,Bart Schut writes for/with NIW in public articles,publisher_article,medium_high,3,2017-2025,S_CVANDAAG_BARTSCHUT_2017;S_NIW_CIDI_DATA_2025,none,Journalist/opiniemaker,evidence_of_public_relation,not_adjudicated
BART_SCHUT,ANTIZIONISM_FRAME,FRAMING,"Public commentary distinguishing antisemitism, antizionism and Israel criticism",reported_content,medium_high,3,2017,S_CVANDAAG_BARTSCHUT_2017,none,Frame node can be materialized if needed,evidence_of_public_relation,not_adjudicated
FRITS_HUFFNAGEL,CASTRO,FOUNDER_ROLE,Castro profile lists Huffnagel as founder and network/political communications actor,self_disclosed,high,5,2019-current,S_CASTRO_OVER;S_CASTRO_SITE,none,Lobby/communications node,evidence_of_public_relation,not_adjudicated
STEFAN_DE_BRUIJN,CASTRO,FOUNDER_ROLE,Castro profile lists De Bruijn as founder/managing partner,self_disclosed,high,5,2019-current,S_CASTRO_OVER,none,Lobby/communications node,evidence_of_public_relation,not_adjudicated
CASTRO,DUTCH_MEDIA_CLUSTER,NETWORK_CAPABILITY,"Castro self-describes communications, lobby, monitoring, media/government network",self_disclosed,high,3,current,S_CASTRO_SITE;S_CASTRO_OVER,none,"Capability edge, not Israel-specific without extra source",evidence_of_public_relation,not_adjudicated
CASTRO,DUTCH_POLITICAL_CLUSTER,NETWORK_CAPABILITY,Castro self-describes political and media network and lobby services,self_disclosed,high,3,current,S_CASTRO_SITE;S_CASTRO_OVER,none,"Capability edge, not Israel-specific without extra source",evidence_of_public_relation,not_adjudicated
NOS,CIDI,REPORTING,NOS reports CIDI legal complaint and HU/CIDI case,verified_public_reporting,high,2,2023-2024,S_NOS_CESTMOCRO_2023;S_NOS_HU_CIDI_2024,none,"Reporting node, not amplifier classification",evidence_of_public_relation,not_adjudicated
JONET,LIKOED_NL,REPORTING,Jonet reports Likoed Nederland Noordhoff campaign,verified_public_reporting,high,2,2019,S_JONET_NOORDHOFF_2019,none,Community news reporting,evidence_of_public_relation,not_adjudicated
JONET,IAF,REPORTING,Jonet reports CU/SGP pro-Israel parliamentary club linked to IIACF,verified_public_reporting,high,2,2013,S_JONET_IIACF_2013,none,Historical reporting,evidence_of_public_relation,not_adjudicated
TRF,CIDI,COUNTER_DOCUMENTATION,TRF articles contest CIDI role in Israel-lobby/framing disputes,source_claim,medium,3,2017-2025,S_RIGHTSFORUM_IAF_2025;S_RIGHTSFORUM_TELEGRAAF_2020,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
CIDI,TRF,CONFLICT_RELATION,CIDI/TRF recurrent adversarial framing relationship in public debate,inference_from_public_sources,medium,2,2017-2025,S_ELSC_2021;S_RIGHTSFORUM_TELEGRAAF_2020,inference,"Use as conflict edge, not coordination claim",evidence_of_public_relation,not_adjudicated
NGO_MONITOR,TRF,DOSSIER_TARGETING,NGO Monitor maintains page/profile on The Rights Forum,verified_public_action,high,3,current,S_NGOMONITOR_RESPONSE_NRC_2026,none,Use if source URL to TRF page added separately,evidence_of_public_relation,not_adjudicated
DUTCH_GOV,OXFAM_NOVIB,CONFIDENCE_IN_PARTNER,Cabinet expressed confidence in partner neutrality/independence in the Oxfam/DRA case,official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,institutional_self_interest;not_independent_verification,"Official confidence statement. Treat as policy position, not independent verification.",institutional_position_not_truth_anchor,unadjudicated
VVD,HU,PUBLIC_PRESSURE,VVD leader Yesilgöz criticized HU in public reaction,reported_public_statement,high,3,2024,S_HOP_HU_POLITICI_2024,none,Party-level edge via leader statement,evidence_of_public_relation,not_adjudicated
BBB,HU,PARLIAMENTARY_PRESSURE,BBB leader Van der Plas wanted oral questions about HU decision,reported_public_action,high,3,2024,S_HOP_HU_POLITICI_2024,none,Party-level edge via leader statement,evidence_of_public_relation,not_adjudicated
NSC,HU,PUBLIC_PRESSURE,NSC leader Omtzigt criticized HU decision,reported_public_statement,medium_high,3,2024,S_HOP_HU_POLITICI_2024,none,Party-level edge via leader statement,evidence_of_public_relation,not_adjudicated
ELSC,SMEAR_CAMPAIGN,TACTIC_DOCUMENTATION,ELSC identifies smear campaigns as the most common suppression tactic in documented incidents,source_claim,high,5,2015-2020,S_ELSC_2021;S_ELSC_PRESS_2021,contested_claim,"Tactic pattern, not per-actor adjudication",tactic_pattern_documentation,not_adjudicated
ELSC,CHILLING_EFFECT,IMPACT_DOCUMENTATION,ELSC describes intimidation and self-censorship as longer-term effects of attacks on Palestine advocacy,source_claim,high,5,2015-2020,S_ELSC_2021;S_ELSC_PRESS_2021,none,Impact pattern,impact_pattern_documentation,not_adjudicated
ELSC,DEFUNDING_PRESSURE_FRAME,TACTIC_DOCUMENTATION,ELSC documents attempted defunding as a recurring tactic against Palestine-related NGOs,source_claim,high,5,2015-2020,S_ELSC_2021;S_ELSC_PRESS_2021,contested_claim,Tactic pattern,tactic_pattern_documentation,not_adjudicated
ELSC,TERROR_LINK_FRAME,TACTIC_DOCUMENTATION,ELSC identifies unfounded support-to-terrorism allegations as a recurring smear mechanism,source_claim,high,5,2015-2020,S_ELSC_2021;S_ELSC_PRESS_2021,defamation_sensitive;contested_claim,Tactic pattern,tactic_pattern_documentation,not_adjudicated
TRF,CHARACTER_ASSASSINATION,COUNTER_DOCUMENTATION,The Rights Forum frames character assassination as a standard weapon of the Israel lobby,source_claim,medium_high,4,2019,S_TRF_CHARACTER_2019,contested_claim,"Advocacy source; useful as rhetoric taxonomy, not neutral adjudication",counter_documentation_claim,not_adjudicated
CHARACTER_ASSASSINATION,JAN_TERVOORT,NAMED_CASE,TRF names Jan Tervoort as a case/target in character-assassination discourse,source_claim,medium,3,2019,S_TRF_CHARACTER_2019,defamation_sensitive;contested_claim,Case attribution comes from TRF,case_claim,not_adjudicated
CHARACTER_ASSASSINATION,TRF,NAMED_CASE,TRF names itself as a target of character-assassination campaigns,source_claim,medium,3,2019,S_TRF_CHARACTER_2019,contested_claim,Self/counter-documentation source,case_claim,not_adjudicated
CIDI,MEDIA_VISIBILITY,MEDIA_PRESENCE_SELFREPORT,CIDI self-reports being mentioned in media on 172 days in 2024,self_disclosed_metric,high,4,2024,S_CIDI_ACTIVITY_2024,none,Presence metric; not evidence of media control,metric_self_report,not_adjudicated
CIDI,ANTIZIONISM_FRAME,FRAMING,CIDI public discourse links anti-Zionism/anti-Israel activism with antisemitism in some contexts,source_claim,medium,3,multi-year,S_ELSC_2021;S_CIDI_CESTMOCRO_2023,contested_claim,"Use only as frame relation, not blanket claim",frame_attribution,not_adjudicated
NGO_MONITOR,AL_MEZAN,TERROR_LINK_ALLEGATION,NGO Monitor published allegations about Al Mezan ties to PFLP according to ELSC,source_claim,medium_high,5,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Allegation transmission; not validation,allegation_origin,unadjudicated_contested
NGO_MONITOR,JOODS_NL,FRAME_SUPPLY,ELSC states Joods.nl replicated NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Transmission claim based on ELSC,transmission_of_claim_not_validation,unadjudicated_contested
NGO_MONITOR,TELEGRAAF,FRAME_SUPPLY,ELSC states De Telegraaf replicated NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Transmission claim based on ELSC,transmission_of_claim_not_validation,unadjudicated_contested
JOODS_NL,AL_MEZAN,MEDIA_AMPLIFICATION,ELSC states Joods.nl published articles replicating NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Media amplification claim,transmission_of_claim_not_validation,unadjudicated_contested
TELEGRAAF,AL_MEZAN,MEDIA_AMPLIFICATION,ELSC states De Telegraaf published articles replicating NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Media amplification claim,transmission_of_claim_not_validation,unadjudicated_contested
PVV,DUTCH_GOV,PARLIAMENTARY_QUESTION,ELSC states PVV submitted parliamentary questions repeating claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Requires official question record for hard-edge upgrade,transmission_of_claim_not_validation,unadjudicated_contested
CIDI,PVV,PUBLICATION_OF_PARLIAMENTARY_QUESTIONS,ELSC states CIDI publicised PVV questions citing De Telegraaf and NGO Monitor,source_claim,medium,3,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,defamation_sensitive;contested_claim,Requires CIDI article archive for hard-edge upgrade,transmission_of_claim_not_validation,unadjudicated_contested
NGO_MONITOR,UAWC,TERROR_LINK_ALLEGATION,TRF/ELSC-related sources describe NGO Monitor reporting used against UAWC funding,source_claim,medium_high,5,2020-2022,S_RIGHTSFORUM_FREESPEECH_2021;S_ELSC_2021,defamation_sensitive;contested_claim,Separate claim layer from any Dutch official investigation,allegation_origin,unadjudicated_contested
NGO_MONITOR,DEFUNDING_PRESSURE_FRAME,TACTIC_LINK,NGO Monitor dossiers are described by ELSC/TRF as inputs used in defunding pressure,source_claim,medium_high,4,2015-2022,S_RIGHTSFORUM_FREESPEECH_2021;S_ELSC_2021,defamation_sensitive;contested_claim,"Tactic linkage, not proof of each individual claim",pattern_inference_from_sources,not_adjudicated
DEFUNDING_PRESSURE_FRAME,DUTCH_DONORS,TARGETS_FINANCIAL_LEVERAGE,"ELSC reports pressure on Dutch donors, often government-linked, to end funding for Palestinian organizations",source_claim,high,5,2015-2020,S_ELSC_2021;S_ELSC_PRESS_2021,none,Donor cluster is abstract,tactic_pattern_documentation,not_adjudicated
DUTCH_DONORS,PALESTINIAN_NGOS,FUNDING_LEVERAGE_RELATION,Palestinian/pro-Palestinian NGO funding becomes leverage point in defunding campaigns,inference_from_documented_cases,medium_high,4,2015-2022,S_ELSC_2021;S_RIGHTSFORUM_FREESPEECH_2021,none,Structural inference from documented cases,analytic_inference,not_adjudicated
MSA_ISRAEL,PALESTINIAN_NGOS,TRANSNATIONAL_DELEGITIMATION_CAMPAIGN,PCHR describes Israeli Ministry of Strategic Affairs campaigns against Palestinian civil society using BDS/terrorism association frames,source_claim,medium,3,2019-2020,S_PCHR_MSA_2020,contested_claim;not_netherlands_specific,Transnational context edge only,transnational_context_source_claim,not_adjudicated
MSA_ISRAEL,TERROR_LINK_FRAME,FRAME_SUPPLY_CONTEXT,MSA campaigns are described as using terrorism/BDS association frames against civil society,source_claim,medium,3,2019-2020,S_PCHR_MSA_2020,contested_claim;not_netherlands_specific,Contextual frame edge,transnational_context_source_claim,not_adjudicated
IAF_EU,NETHERLANDS_OFFICE,ORGANIZATIONAL_FOOTPRINT,IAF Europe states it opened a European office in the Netherlands to strengthen Israel Allies caucuses,self_disclosed,high,4,current,S_IAF_EU_NL_OFFICE,none,Organizational footprint; not direct lobbying edge by itself,organizational_self_disclosure,not_adjudicated
ECI,EU_POLITICAL_LEADERS,EU_ADVOCACY,LobbyFacts says ECI informs MEPs and other political leaders on antisemitism/anti-Zionism and EU-Israel relations,registry_disclosure,medium_high,3,current,S_ECI_LOBBYFACTS,none,"EU-level edge, not direct Netherlands edge",lobby_register_disclosure,not_adjudicated
DUTCH_FOREIGN_POLICY_CONTEXT,TWEEDE_KAMER,STRUCTURAL_CONTEXT,Malcontent argues Dutch Parliament has been decisive in maintaining a relatively pro-Israel Dutch policy line,academic_claim,medium_high,3,1949-2022,S_MALCONTENT_2022,none,Academic structural context; not a lobby edge,academic_context,not_adjudicated
DUTCH_FOREIGN_POLICY_CONTEXT,DUTCH_GOV,STRUCTURAL_CONTEXT,"Malcontent describes the Netherlands as one of Israel's faithful European allies historically, with parliament as major determinant",academic_claim,medium_high,3,1949-2022,S_MALCONTENT_2022,none,Academic structural context,academic_context,not_adjudicated
